Cross 1, Cross 2, Cross 3, Cross 4, Cross 5, Cross 6
113,68,47,67,33,110
145,65,47,92,39,105
128,51,38,78,36,117
131,71,48,78,43,140
134,61,33,72,33,97
109,47,37,72,41,109
107,65,30,72,33,118
134,62,44,75,27,75
128,51,29,66,33,89
92,61,37,86,38,124
101,44,33,57,29,100
106,38,42,50,29,68
90,40,33,43,16,111
86,33,21,54,27,78
97,47,27,60,23,62
117,46,28,40,22,76
80,49,28,51,35,83
59,30,32,69,26,72
71,33,28,44,21,67
66,40,26,37,18,89
44,31,21,50,24,91
78,28,24,43,24,70
73,43,37,43,21,60
79,38,14,53,26,50
44,33,18,49,15,77
64.5,32.5,22,34,22,55.5
65.5,39.5,24,48.5,15,55.5
47.5,19.5,19,20.5,17,53.5
56,31,20,39.5,18,55.5
47,22,19,35.5,16,42.5
40,22,19,24,10,65
51.5,25.5,12,36,19,53.5
53.5,23,16,36.5,13,52
44.5,26,15,37,13,46
45.5,32.5,19,21.5,7,41.5
33.5,17,17,28,16,42.5
53.5,21,24,23.5,16,48.5
48,18.5,13,31.5,10,45
41,16,8,21,8,41
30.5,13,7,20,7,28.5
27,18.5,14,24.5,17,29.5
42.5,20.5,12,36.5,4,16.5
28,12.5,4,14.5,7,29.5
18.5,14.5,7,14.5,10,21.5
24,13,8,15.5,5,29.5
25.5,9,9,20,4,25
16,9.5,9,16,7,17.5
21,8.5,8,13,8,21.5
20,6,9,24,6,23.5
2.5,0.5,1,2.5,1,4
9.5,5.5,5,10.5,5,19
18.5,4.5,7,13,2,12.5
13,4,6,7.5,3,15.5
7,4.5,3,10.5,2,14.5
11,1.5,2,6,1,11.5
8.5,2.5,2,11,2,10
2,0.5,0,22.5,4,13.5
6,9,4,16,2,10.5
32.5,8,0,10,1,14.5
11.5,7.5,3,6.5,4,12
6,1,3,6.5,4,15.5
8,4,3,7.5,4,10
10,3,1,2.5,4,12
12,2.5,3,8.5,5,13.5
10,1.5,5,11.5,5,12.5
11.5,7,4,15.5,4,7.5
7.5,1.5,4,18,2,12
6.5,2,5,20.5,3,14.5
7.5,1.5,2,22,3,24
5,2,1,22,1,18.5
14,1.5,3,15,3,29
12,1,2,9.5,1,15
4.5,0,1,9,1,15.5
4.5,1,5,13,2,19.5
4,3.5,4,18,3,28
8,0,2,16.5,1,24.5
6,2,1,16.5,4,46.5
10,2.5,2,15,0,36.5
7,0,1,16,2,24
5.5,0,0,8.5,0,36
11.5,3,3,10.5,0,35
8,0,1,12,3,21.5
7.5,2,0,28,1,16
5.5,0,1,2,3,27.5
11,1.5,1,3,1,19.5
6.5,1,3,4,1,15.5
9,3.5,1,3.5,2,5.5
14,2,3,7.5,3,16
11.5,3,2,7,3,9.5
10,3,7,7,4,9.5
15.5,4,5,4.5,2,11.5
31.5,9,6,19.5,2,12
30,8,12,8,3,13
15,7.5,11,12,6,11
22.5,14.5,16,12.5,2,11
39,15.5,8,15,3,21.5
37.5,25.5,20,30.5,8,29.5
39,16,14,15,8,30
31,18.5,14,16,7,27
54,24.5,20,26.5,9,31.5
58,24,23,25.5,5,41
73.5,37,22,33.5,6,46.5
68,38,24,35.5,13,35
73,38,40,59.5,14,62.5
112.5,62.5,27,45.5,19,81.5
102.5,57.5,39,60,19,77
108,59.5,38,69.5,24,67
124,71,40,76,34,94.5
151,68.5,47,81,29,83.5
129,77,43,72,27,84.5
140,68.5,44,79.5,35,97
145,83.5,66,80,42,90.5
155.5,92,69,94.5,38,80
197.5,83,95,92.5,54,86
199.5,112.5,65,120.5,49,124.5
206.5,95.5,80,122,47,120
214.5,137,78,109.5,55,131.5
246.5,160.5,81,144.5,87,159.5
294,181.5,87,174,90,158.5
275.5,156.5,94,186,92,170
255.5,192,116,188.5,110,158
257,206,141,187,143,182.5
271,188.5,137,213.5,138,213
291,202.5,146,254.5,135,208.5
249,199,157,229,157,198
292,242,152,220.5,161,166.5
310.5,248,170,229.5,155,201.5
293,227,150,230,141,184.5
330.5,271.5,138,211.5,130,239
288.5,250,138,222,132,215.5
267.5,171,157,202,118,198
251.5,160.5,141,174.5,122,187.5
245,139.5,124,201,94,183
221,178,146,156.5,99,160
228.5,142.5,100,173,84,180
238.5,164.5,92,157,105,191.5
228,146.5,89,161,83,191.5
221,144,83,155.5,75,189
235.5,148.5,94,160,80,176.5
212,132,101,145,72,186.5
227.5,164.5,97,158.5,66,185.5
231.5,135.5,109,171,76,175
188,124.5,99,139,63,170
175,133.5,73,142.5,50,174.5
187,130.5,79,144,75,131.5
195.5,117.5,62,153,64,154
213,132,79,133.5,60,144
184,107.5,85,105.5,52,152.5
201.5,137.5,86,81,55,175.5
191.5,108.5,77,86.5,66,164.5
198,117,78,77,62,157
215,139,87,85.5,54,174.5
203.5,124.5,74,104.5,59,142.5
200.5,123.5,90,54,63,160.5
198.5,127,70,61,66,142.5
153.5,97.5,73,60,44,147.5
149,111.5,77,50,64,135
147,107,84,75,66,168
147.5,109.5,84,27,49,128
158,107.5,83,0,54,121.5
168.5,122.5,87,0,61,132.5
148,114,60,0,42,114
147,92,66,0,62,125
157,106.5,65,0,46,151
151,121,76,0,57,113
181,117,70,0,53,153
134.5,104.5,85,0,66,132
149,101.5,84,0,70,138.5
164,109.5,74,0,68,143.5
145,92,79,0,71,154.5
121,106.5,72,0,62,135.5
114.5,113,73,0,71,122
158,96,76,0,57,111.5
133.5,94,68,0,66,127.5
148.5,103,55,0,48,130.5
146,101,62,0,47,117
147.5,88.5,55,0,46,106
101,78.5,60,0,44,112.5
134,79.5,63,0,43,116
122.5,80.5,59,0,37,127.5
112.5,83.5,48,0,53,98
135,87,60,0,37,121.5
165,101,57,0,36,129.5
137.5,103.5,54,0,47,127.5
139,109,66,0,49,126
148.5,82,66,0,47,111
131,105,52,0,44,139.5
130,107,69,0,44,128.5
175.5,129.5,78,0,61,163.5
175.5,121,71,0,64,139
155.5,137,84,0,68,168
179,125,86,0,71,191.5
181.5,134.5,93,0,77,185
151,115.5,86,0,68,155.5
153.5,127.5,84,0,65,143.5
174,135,87,0,57,164.5
204,115,85,0,55,178
160.5,123.5,70,0,57,155
164,116,80,0,66,154
167.5,115.5,77,0,55,139
183,141,65,0,54,148
172.5,111.5,67,0,56,132
167.5,112,86,0,50,173
214.5,151.5,72,0,74,169.5
180,109.5,86,0,75,172
190.5,140.5,82,0,52,147
178.5,124,66,0,45,120.5
169,134,60,0,65,162
166,119.5,72,0,52,184
208,131.5,71,0,52,177.5
175,114,78,0,57,160.5
163,124,72,0,59,166
168.5,134,83,0,50,161
171,129,87,0,84,167
174,145,80,0,47,147
147,97.5,78,0,66,166.5
187,126,91,0,70,165.5
170.5,123,68,0,47,135
199.5,125,81,0,62,166.5
164,117,84,0,77,168.5
194,123.5,77,0,61,127
31,136.5,84,0,64,0
0,135.5,99,0,21,0
0,136.5,70,0,0,0
0,132.5,6,0,0,0
0,117,0,0,0,0
0,95.5,0,0,0,0
0,124,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
85,26.5,18,0,14,63
56,29.5,29,0,14,43
36.5,29,31,0,31,50
51,29.5,29,0,26,55
48.5,29,23,0,25,47.5
54,18.5,16,0,16,45
37.5,21,25,0,22,68.5
52,22.5,21,0,26,53
46,19,10,0,18,39.5
41,21.5,18,0,18,43.5
38.5,24,20,0,11,31
39,23.5,20,0,22,29.5
26.5,19.5,14,0,16,29.5
34,15,9,0,11,30.5
18,16.5,13,0,7,24.5
30,8.5,10,0,14,30.5
25.5,8.5,17,0,6,23.5
28.5,9.5,13,0,13,34
25.5,14,5,0,1,25
18,15,10,0,4,18
20,14.5,12,0,2,21.5
28.5,8,12,0,12,35.5
18,10,6,0,6,23.5
14,4,10,0,11,25
3.5,0,0,0,2,4.5
18,8.5,9,0,5,20
20.5,7.5,8,0,8,21
23,9,6,0,6,24
15.5,7.5,8,0,7,17
17,6,6,0,5,17
11,4,5,0,5,11.5
8.5,1,2,0,2,7
9,3.5,6,0,4,25.5
20,12,3,0,6,16
15.5,9.5,3,0,4,16
17.5,4.5,4,0,5,18
5,5,3,0,4,7.5
7,1.5,3,0,5,10
5,3.5,6,0,3,14.5
12,8,4,0,2,11
13,5,3,0,4,16
11.5,7,3,0,6,11
6.5,1.5,1,0,2,13
6,3.5,7,0,0,6.5
8,2.5,3,0,1,8
8,5,4,0,3,7.5
10,2.5,5,0,3,9
6,2,7,0,6,15
10,3,3,0,2,10.5
17,6,1,0,1,11
5,2,5,0,2,10
9,1.5,4,0,2,7.5
6,3,2,0,2,5.5
9,6,0,0,0,8
12,3,1,0,4,9
14.5,4.5,2,0,1,13
15.5,3.5,0,0,0,16.5
5.5,5,4,0,1,13
8.5,3.5,2,0,2,5
7,2,0,0,2,6
7,1,3,0,1,9.5
6,1,3,0,2,15
18,5,5,0,1,7.5
11,1,6,0,2,12
10.5,2,3,0,3,11
14,2.5,6,0,1,12.5
22,3.5,4,0,6,17.5
15.5,8.5,11,0,3,15
25.5,12,9,0,4,9.5
28,11,13,0,4,21.5
23,12.5,16,0,6,12
23.5,16,13,0,6,24
44.5,16.5,12,0,4,27
45,23,14,0,6,34
37,19.5,18,0,5,24
39,16,20,0,8,29.5
55,31,16,0,6,31
68,40,29,0,11,48.5
79.5,36,33,0,11,43.5
85,48.5,28,0,16,51
74.5,36,38,0,18,44.5
88,49,33,0,14,61
100.5,44,37,0,18,61
100.5,52.5,40,0,28,89
91,55,36,0,32,55
110,48,62,0,32,68
135,73,62,0,42,75
155,65.5,66,0,55,72
160.5,74.5,69,0,37,103
163,105.5,82,0,45,118.5
204,98.5,90,0,62,87
225,101.5,66,0,69,132
260,140.5,100,0,77,128.5
229.5,178.5,109,0,92,159
269,153.5,107,0,117,159
253.5,156.5,122,0,106,199.5
300,222,140,0,145,189
267.5,204.5,153,0,144,195
263,223,159,0,161,201
321,212,161,0,157,210
267,278,153,0,152,219
271.5,214,161,0,139,217
286,201.5,159,0,153,199
276,265.5,150,0,126,184
256.5,225,143,0,115,180.5
275,182.5,146,0,101,177
243.5,139.5,135,0,119,179
195.5,165,145,0,110,158.5
243.5,179.5,109,0,100,160.5
206,168,112,0,99,169.5
198.5,153,99,0,75,180.5
225.5,145.5,75,0,57,173
209.5,105,78,0,87,159.5
183,147.5,87,0,72,164.5
206,132,87,0,62,172
210.5,156,93,0,94,197
209,128,68,0,72,150
191.5,133,71,0,65,178.5
201.5,123.5,95,0,67,186
173,127.5,82,0,65,133
199,125.5,71,0,69,133
165.5,109,70,0,69,181.5
188,126,80,0,50,149.5
144,113,64,1,48,126.5
146.5,109,85,34,55,142.5
149.5,124.5,73,0,51,144
162.5,116,67,0,43,131
154,117,79,0,61,152.5
162,129,79,0,58,141
192.5,139.5,77,0,64,181
181,129,80,60,58,175
175.5,137,82,73,59,152
168.5,116.5,71,63,55,122.5
170,125.5,78,65,59,161
135.5,112,69,48,52,143.5
149.5,106,74,68,59,147
127,112,74,85,56,142
139,102.5,72,66,46,127.5
163,133.5,76,76,51,155.5
128,125,66,60,55,136
112,105,65,59,64,108.5
113.5,113.5,80,73,55,135
117,98.5,86,60,62,130.5
111.5,115.5,87,70,85,156.5
114.5,115.5,86,61,73,143.5
151,122,80,50.5,70,125
101.5,110,56,57,76,44
125,91.5,66,52,70,0
123.5,82,69,47,71,0
24,120.5,73,52.5,59,0
0,109.5,71,43.5,28,0
0,83.5,44,5,0,0
0,6.5,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
44,34,32,24,29,59
52.5,24,31,21,34,54.5
60.5,31,30,28,26,57.5
55,25,22,24,28,70.5
41,22,35,12,24,47
37,24.5,27,16,25,51
56,33.5,20,22,19,52
34,30,20,18,15,45
43,21.5,23,15,18,47.5
33.5,18.5,17,19,17,38.5
38,23.5,19,12,15,49.5
17.5,21,9,10,16,45.5
25,11,10,13,21,42
28.5,18.5,8,8,8,37
21,8,9,11,14,38.5
18,8.5,6,6,6,27.5
15.5,9.5,6,6,2,24
23.5,10,4,10,4,24
17.5,8.5,2,7,3,22
14.5,6.5,6,7,2,28.5
21,8.5,4,9,4,21.5
15,5,3,7,2,20
19,8,5,9,6,32.5
19,7,6,3,9,28.5
2,1,3,2,1,7
19.5,4.5,5,5,1,8
14,7.5,4,8,4,24.5
14.5,14,7,6,3,15
13.5,6,6,4,5,15
17,4.5,6,5,4,15
7,5.5,3,6,2,14
12.5,4.5,3,3,5,12
12,9,4,5,3,10.5
10,2,3,0,1,15.5
7.5,6,2,1,2,13.5
4,5,3,6,1,10
2.5,0,0,2,1,9.5
5.5,3.5,2,6,0,16
4,4,4,3,1,13.5
1,1.5,7,1,3,10
4.5,2,6,0,5,8
1.5,3.5,1,3,0,5
3,1,5,2,1,7
2,6,2,0,1,4.5
2,1.5,0,2,0,9.5
9.5,0,0,3,1,11.5
3,2,1,1,1,12
1,1,1,0,1,8.5
1.5,4,1,1,1,3.5
1,1.5,1,4,0,11
1.5,2,2,1,1,6
9,2.5,2,2,2,10
5,0,2,3,3,6.5
2,0.5,0,4,1,3
3,0,1,10,1,5.5
10.5,0,2,31,1,8.5
2,2,0,37,2,5.5
4.5,0,1,44,1,6.5
7,2.5,3,35,3,6.5
5,0.5,1,26,1,10.5
7,2,2,18,3,7.5
10.5,1.5,2,21,2,12
8,1,5,24,3,13.5
8,2,4,13,1,7.5
7.5,1,3,24,4,11
10.5,2.5,5,24,5,19.5
11.5,4,7,4,5,21
27,3,5,2,3,17.5
35,14,7,7,5,16.5
19.5,5,10,6,3,20
22,13.5,9,4,3,17
26,9,17,3,9,18
25,13,16,8,8,22
32,14,16,7,7,30.5
47,18,19,16,3,41.5
40,14.5,18,5,6,32.5
37,20,22,13,6,28
54.5,29,23,15,7,48.5
61.5,33.5,27,17,16,40
68,39,28,19,17,51.5
85.5,46.5,29,21,13,64
89.5,48,33,23,15,69
104.5,40,28,29,22,90
102.5,52,32,38,28,73.5
88,49.5,39,29,33,86.5
96,48.5,53,25,27,94.5
126.5,57,59,48,36,91.5
127.5,90.5,61,32,29,100.5
142.5,60.5,71,45,47,117.5
166.5,90.5,81,39,53,117
210,121,78,77,41,130.5
216.5,106.5,93,75,88,101
261.5,131.5,90,83,58,125
229.5,147.5,97,68,95,134.5
243,185,118,110,90,124.5
287,181.5,123,112,89,145.5
287.5,177,133,104,137,168
260,201,124,131,157,188.5
283.5,209,149,168,129,180
287,203.5,145,127,137,148.5
273.5,237,157,88,133,198.5
293,216,205,114,149,184.5
280.5,206.5,166,128,160,202.5
253,269.5,132,100,143,213
292,193,158,156,134,227
264.5,223,159,112,110,183.5
255.5,220,139,111,129,206
268,198.5,124,126,117,188.5
223.5,149.5,125,158,101,177.5
226,198,149,105,107,213
216.5,148.5,132,92,96,181
208,152.5,101,70,108,161.5
209.5,137,99,113,77,185.5
212.5,145.5,98,80,92,154.5
198,157,117,74,93,173.5
220.5,166,87,90,77,197
254.5,144,101,91,65,172
201,139,82,77,71,199
199.5,136.5,86,77,71,172.5
208.5,151.5,97,83,73,143
179,150.5,86,94,70,184.5
199.5,115,76,93,63,167.5
215.5,140,82,75,52,140
228,156.5,89,83,69,136.5
199.5,125.5,86,59,74,170
198.5,127,78,74,61,165
196.5,110,97,72,52,147
195.5,116.5,71,70,53,158
184.5,131.5,83,61,51,141.5
183,106,75,48,43,131
172.5,110.5,62,55,49,175
175,112.5,81,52,65,173
129,108.5,82,54,44,108.5
162,107,66,67,55,136
163.5,106,74,60,61,132
169.5,121.5,80,61,74,162.5
156,81.5,69,45,46,125
152,99,74,61,54,151.5
155,126.5,80,68,50,132
170.5,129.5,99,57,58,155
179,104,78,51,50,158.5
142.5,111,65,54,65,135.5
160.5,102.5,78,62,77,137
167.5,103,80,49,65,155.5
155.5,105.5,79,55,68,158
175.5,135,92,64,69,178.5
66.5,132,80,69,94,7
0,101.5,89,11,13,0
0,24,16,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
